Rank,RankO,Master_col,Name,Ranking_Agency,Year,Region,No. of FTE Students,No. of students per staff,International Students,Female_Ratio,Male_Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook
,Reporter,The Rockefeller University,The Rockefeller University,Times,2022,United States,239,2,33%,44%,56%,,,,,,
,Reporter,Texas A&M University-Commerce,Texas A&M University-Commerce,Times,2022,United States,"7,751",21.2,6%,61%,39%,,,,,,
2,2,Stanford University,Stanford University,Times,2021,United States,"16,223",7.4,23%,44%,56%,94.9,92.2,96.7,99.9,90.1,79.5
3,3,Harvard University,Harvard University,Times,2021,United States,"21,261",9.3,25%,49%,51%,94.8,94.4,98.8,99.4,46.8,77.7
4,4,California Institute of Technology,California Institute of Technology,Times,2021,United States,"2,238",6.3,33%,36%,64%,94.5,92.5,96.9,97,92.7,83.6
5,5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Times,2021,United States,"11,276",8.4,34%,39%,61%,94.4,90.7,94.4,99.7,90.4,90
7,7,"University of California, Berkeley","University of California, Berkeley",Times,2021,United States,"39,918",19.8,17%,51%,49%,92.2,85.8,97.2,99.1,84.3,72.3
8,8,Yale University,Yale University,Times,2021,United States,"12,910",6,20%,50%,50%,91.6,91.9,93.8,97.9,56.1,68.4
9,9,Princeton University,Princeton University,Times,2021,United States,"8,091",8,23%,46%,54%,91.5,88.8,92.5,98.9,58,80.2
10,10,The University of Chicago,The University of Chicago,Times,2021,United States,"14,292",5.9,31%,46%,54%,90.3,88.9,90.5,98.6,54.9,74
12,12,Johns Hopkins University,Johns Hopkins University,Times,2021,United States,"16,432",4.4,27%,52%,48%,89.2,81.6,91.8,97.7,93.4,73.9
13,13,University of Pennsylvania,University of Pennsylvania,Times,2021,United States,"20,771",6.4,21%,52%,48%,88.9,85.4,89.9,98.1,77.9,66.3
15,15,"University of California, Los Angeles","University of California, Los Angeles",Times,2021,United States,"41,673",10,17%,55%,45%,87.1,82.5,90.2,96.5,57.6,65.3
17,17,Columbia University,Columbia University,Times,2021,United States,"27,384",5.7,39%,NA,NA,86.8,85.1,82.9,97.7,45,79.8
19,19,Cornell University,Cornell University,Times,2021,United States,"23,016",10.2,25%,50%,50%,85.3,78.8,86.7,97.2,36.3,73.7
20,20,Duke University,Duke University,Times,2021,United States,"15,489",4.3,21%,49%,51%,84.8,80.7,80.4,96.9,99.7,65.5
22,22,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,Times,2021,United States,"43,873",8.3,17%,50%,50%,84,79,86.9,95.4,47.2,59.6
24,24,Northwestern University,Northwestern University,Times,2021,United States,"18,529",13,19%,49%,51%,83.6,74.9,83.6,98.2,69.9,64.5
26,26,New York University,New York University,Times,2021,United States,"44,474",8.8,34%,57%,43%,81.9,76.1,80.6,96,37.3,69.6
28,28,Carnegie Mellon University,Carnegie Mellon University,Times,2021,United States,"14,058",13.7,48%,43%,57%,81,65.1,81.3,98.9,53.3,80.5
29,29,University of Washington,University of Washington,Times,2021,United States,"46,258",10.7,17%,53%,47%,80.4,69.8,80.5,98.7,45.6,60.9
33,33,"University of California, San Diego","University of California, San Diego",Times,2021,United States,"34,232",12,30%,47%,53%,77.7,60.3,80.4,94.3,95.6,64.4
38,38,Georgia Institute of Technology,Georgia Institute of Technology,Times,2021,United States,"26,043",23.6,27%,33%,67%,75.8,59.5,76.8,91.1,65.8,78.9
44,44,University of Texas at Austin,University of Texas at Austin,Times,2021,United States,"49,510",16.9,10%,52%,48%,74,67.9,74.8,90.5,46.2,39.4
48,48,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Times,2021,United States,"45,980",17.8,24%,48%,52%,72.3,62.5,79.1,81.3,49.5,55.1
49,49,University of Wisconsin-Madison,University of Wisconsin-Madison,Times,2021,United States,"39,451",9.8,13%,NA,NA,71.4,68.2,71.4,82.5,45,48.4
50,50,Washington University in St Louis,Washington University in St Louis,Times,2021,United States,"13,693",7.5,21%,NA,NA,71.1,61.2,58.7,99,40.4,59.1
53,53,University of Southern California,University of Southern California,Times,2021,United States,"41,953",13,23%,49%,51%,70.4,63.8,58.4,93.1,39.2,64.9
54,54,Boston University,Boston University,Times,2021,United States,"26,510",11.1,28%,59%,41%,70.3,58.9,60.9,94.9,41.7,64.9
56,56,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Times,2021,United States,"30,956",8.2,8%,58%,42%,70.1,60.6,63.3,96.3,42.5,39.7
61,61,Brown University,Brown University,Times,2021,United States,"9,695",10.8,20%,NA,NA,69.5,62.4,56.6,94,36.1,62.3
64,64,"University of California, Davis","University of California, Davis",Times,2021,United States,"36,395",13.6,17%,58%,42%,68.9,60.5,66.2,81.9,50.4,66.9
68,68,"University of California, Santa Barbara","University of California, Santa Barbara",Times,2021,United States,"24,780",28.2,18%,53%,47%,67.9,45.8,59.6,96.7,81.8,70
80,80,Ohio State University (Main campus),Ohio State University (Main campus),Times,2021,United States,"54,650",12.1,13%,50%,50%,65.1,55.6,54.2,87.9,53.3,60.1
85,85,Emory University,Emory University,Times,2021,United States,"12,923",4,20%,59%,41%,63.7,53.9,41.1,98.7,46.7,59.2
85,85,University of Minnesota,University of Minnesota,Times,2021,United States,"61,994",12.4,11%,53%,47%,63.7,55.1,59,81.4,80.3,40.7
90,90,"University of Maryland, College Park","University of Maryland, College Park",Times,2021,United States,"33,671",16.6,11%,48%,52%,63.1,47.4,58.8,90.2,38.9,42.9
94,94,Purdue University West Lafayette,Purdue University West Lafayette,Times,2021,United States,"41,573",16.3,22%,43%,57%,62.5,57.1,65.5,62,69.9,71.5
98,98,"University of California, Irvine","University of California, Irvine",Times,2021,United States,"35,040",17.5,27%,52%,48%,62.1,43.5,47.5,93.5,53.2,72.4
101,101,Dartmouth College,Dartmouth College,Times,2021,United States,"6,336",7.6,15%,48%,52%,61.7,57.8,39.2,95.3,37.8,40.7
105,105,Michigan State University,Michigan State University,Times,2021,United States,"44,618",16.1,15%,51%,49%,61.5,53.1,55.1,77.9,36.4,63.6
111,111,Vanderbilt University,Vanderbilt University,Times,2021,United States,"12,139",3,15%,54%,46%,61,48.9,44.5,94.6,53.5,43.6
114,114,Penn State (Main campus),Penn State (Main campus),Times,2021,United States,"46,682",11,15%,47%,53%,60.9,52.6,58.8,76.9,36.9,46.9
117,117,University of Virginia (Main campus),University of Virginia (Main campus),Times,2021,United States,"24,879",9,13%,52%,48%,60.6,52.1,43.3,90.7,41.9,50.2
120,120,Georgetown University,Georgetown University,Times,2021,United States,"16,451",8.5,19%,55%,45%,60.1,54.5,33.8,94.7,65.7,47.2
121,121,Case Western Reserve University,Case Western Reserve University,Times,2021,United States,"10,774",9.1,23%,50%,50%,60,47.3,41,95,40.7,53.5
124,124,University of Arizona,University of Arizona,Times,2021,United States,"39,635",18,9%,52%,48%,59.8,47.6,51.7,85.6,50.3,40.4
124,124,Rice University,Rice University,Times,2021,United States,"6,805",9.2,28%,42%,58%,59.8,48,38.4,89.9,42.9,77.3
131,131,University of Colorado Boulder,University of Colorado Boulder,Times,2021,United States,"34,481",16.1,11%,44%,56%,58.9,43.8,45.9,91.3,42,47.5
133,133,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2021,United States,"26,761",5.7,11%,53%,47%,58.8,45.5,42.8,93.9,40.6,41.7
140,140,Indiana University,Indiana University,Times,2021,United States,"67,054",15,15%,51%,49%,58.2,49.8,48.8,77.8,51.7,53.6
147,147,University of Rochester,University of Rochester,Times,2021,United States,"10,017",4.9,34%,49%,51%,57.8,45.4,35.2,91.2,41.4,69.8
152,152,University of Florida,University of Florida,Times,2021,United States,"46,632",16.1,9%,56%,44%,57.4,54.2,60.4,61.9,56.1,40.5
155,155,Tufts University,Tufts University,Times,2021,United States,"11,024",9.7,16%,55%,45%,57.3,46.7,33,95.5,38.5,50
166,166,Rutgers University - New Brunswick,Rutgers University – New Brunswick,Times,2021,United States,"44,264",11,17%,52%,48%,56.4,47.3,48.5,75.8,40.4,52.5
169,169,University of Alabama at Birmingham,University of Alabama at Birmingham,Times,2021,United States,"18,211",17.3,6%,63%,37%,56.2,38.4,35.5,97.4,78.6,38.4
170,170,University of Notre Dame,University of Notre Dame,Times,2021,United States,"12,149",10.9,12%,46%,54%,56,52.1,45.5,71.5,38.1,57.3
176,176,"Northeastern University, US","Northeastern University, US",Times,2021,United States,"20,711",14.1,36%,48%,52%,55.8,36.7,29.1,98.2,36.5,76
184,184,Arizona State University (Tempe),Arizona State University (Tempe),Times,2021,United States,"45,827",19.7,20%,43%,57%,55.2,38.2,47.8,79.1,37.1,62.8
187,187,George Washington University,George Washington University,Times,2021,United States,"23,788",13.4,17%,60%,40%,54.9,46.9,33.3,85.8,34.4,55.9
197,197,Texas A&M University,Texas A&M University,Times,2021,United States,"62,070",24.4,8%,47%,53%,54.5,47.4,51.6,64.8,44.9,56.1
201,201–250,Brandeis University,Brandeis University,Times,2021,United States,"5,346",12.7,27%,58%,42%,50.6–54.2,28.1,24.4,99.9,34.7,55.8
201,201–250,"University of California, Santa Cruz","University of California, Santa Cruz",Times,2021,United States,"19,457",23.8,12%,49%,51%,50.6–54.2,31.4,31.9,96.2,38.9,63.6
201,201–250,University of Hawai’i at M?noa,University of Hawai’i at M?noa,Times,2021,United States,"14,732",10.6,10%,57%,43%,50.6–54.2,37,39.3,72.3,52.5,65.5
201,201–250,Howard University,Howard University,Times,2021,United States,"8,766",9.3,8%,67%,33%,50.6–54.2,43.9,17,99.5,33.3,35
201,201–250,University of Iowa,University of Iowa,Times,2021,United States,"29,406",11.6,10%,53%,47%,50.6–54.2,42.3,30.2,80.6,50.6,46.1
201,201–250,University of Massachusetts,University of Massachusetts,Times,2021,United States,"61,958",13.3,15%,48%,52%,50.6–54.2,37.3,32,88.3,50.7,64.1
201,201–250,University of Miami,University of Miami,Times,2021,United States,"16,179",6.3,16%,52%,48%,50.6–54.2,45.1,25,81.4,40.5,60.6
201,201–250,University of South Florida (Tampa),University of South Florida (Tampa),Times,2021,United States,"34,839",19.2,15%,NA,NA,50.6–54.2,31.1,36.9,87.4,93.2,55.6
201,201–250,University of Utah,University of Utah,Times,2021,United States,"30,692",14.8,8%,48%,52%,50.6–54.2,38.3,31.8,86.6,56.4,32.8
201,201–250,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Times,2021,United States,"34,155",18.4,14%,43%,57%,50.6–54.2,36.2,42.4,72.5,47.8,55.6
251,251–300,University at Buffalo,University at Buffalo,Times,2021,United States,"26,341",17.5,16%,44%,56%,48.0–50.5,36.8,34,73.1,44.7,64.6
251,251–300,"University of California, Riverside","University of California, Riverside",Times,2021,United States,"22,498",17.7,14%,53%,47%,48.0–50.5,31.2,30.3,85,37.5,65.7
251,251–300,University of Cincinnati – Uptown,University of Cincinnati – Uptown,Times,2021,United States,"29,309",20.5,9%,51%,49%,48.0–50.5,35.8,31.2,83.8,38.5,43.6
251,251–300,Florida State University,Florida State University,Times,2021,United States,"38,368",25.8,7%,57%,43%,48.0–50.5,37.9,40.1,69.5,38.7,45.9
251,251–300,George Mason University,George Mason University,Times,2021,United States,"30,500",18.1,11%,53%,47%,48.0–50.5,31,28.9,89.9,35,47.8
251,251–300,University of Illinois Chicago,University of Illinois Chicago,Times,2021,United States,"27,031",11.5,20%,52%,48%,48.0–50.5,43.7,33,68.9,42.6,55.7
251,251–300,University of New Mexico (Main campus),University of New Mexico (Main campus),Times,2021,United States,"18,277",16.3,5%,56%,44%,48.0–50.5,39.8,30.2,82.3,42.3,33.5
251,251–300,Nova Southeastern University,Nova Southeastern University,Times,2021,United States,"17,101",21.2,6%,70%,30%,48.0–50.5,38.7,11.5,99.8,33.3,29.3
251,251–300,Oregon Health and Science University,Oregon Health and Science University,Times,2021,United States,"2,999",1,3%,66%,34%,48.0–50.5,36.5,17.4,99.7,46.1,27.8
251,251–300,SUNY University at Albany,SUNY University at Albany,Times,2021,United States,"16,078",16.6,9%,53%,47%,48.0–50.5,24.2,27.5,93.3,40.1,50.6
251,251–300,Wake Forest University,Wake Forest University,Times,2021,United States,"7,804",4.1,10%,54%,46%,48.0–50.5,39.1,20.5,89.1,42.2,32.6
251,251–300,William & Mary,William & Mary,Times,2021,United States,"8,278",11.1,9%,56%,44%,48.0–50.5,46.1,19.8,84.7,34.5,38.2
301,301–350,Boston College,Boston College,Times,2021,United States,"12,921",15.5,11%,54%,46%,45.6–47.9,48.2,33.3,64.5,33.5,44
301,301–350,"University of California, Merced","University of California, Merced",Times,2021,United States,"7,849",21.2,9%,51%,49%,45.6–47.9,21.6,23,95.2,38.8,43.9
301,301–350,University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus,Times,2021,United States,"17,112",4,8%,56%,44%,45.6–47.9,32.7,19.1,94.2,41,29.9
301,301–350,University of Delaware,University of Delaware,Times,2021,United States,"21,564",17.1,10%,57%,43%,45.6–47.9,27.9,39.7,69.1,95.1,48.9
301,301–350,Illinois Institute of Technology,Illinois Institute of Technology,Times,2021,United States,"6,092",14.5,49%,36%,64%,45.6–47.9,42.2,27.3,63.3,36.4,75.7
301,301–350,North Carolina State University,North Carolina State University,Times,2021,United States,"29,966",12.5,15%,46%,54%,45.6–47.9,36.6,36.3,62.3,42.6,59
301,301–350,University of Oregon,University of Oregon,Times,2021,United States,"22,019",10.6,10%,54%,46%,45.6–47.9,33,24.2,83.1,34.3,35.9
301,301–350,Rush University,Rush University,Times,2021,United States,"2,624",2.2,2%,74%,26%,45.6–47.9,39.9,14.6,92.2,41.7,21.3
301,301–350,Stony Brook University,Stony Brook University,Times,2021,United States,"24,593",10.6,23%,50%,50%,45.6–47.9,33.3,24.5,78.4,34.7,71.8
301,301–350,Syracuse University,Syracuse University,Times,2021,United States,"20,484",15,20%,53%,47%,45.6–47.9,34.7,28.3,73.7,34.9,49.6
301,301–350,Temple University,Temple University,Times,2021,United States,"36,398",13.1,9%,53%,47%,45.6–47.9,38.8,25.3,81.3,33.3,39.2
301,301–350,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,Times,2021,United States,"26,184",16.6,5%,NA,NA,45.6–47.9,33.1,24.2,81.3,43.7,46.7
301,301–350,University of Texas at Dallas,University of Texas at Dallas,Times,2021,United States,"23,587",20.8,23%,43%,57%,45.6–47.9,25,27.7,81.1,39.6,59.8
301,301–350,Tulane University,Tulane University,Times,2021,United States,"11,224",9.1,11%,58%,42%,45.6–47.9,42.9,24.1,78.2,35.8,43.2
301,301–350,Washington State University,Washington State University,Times,2021,United States,"28,482",18.4,7%,53%,47%,45.6–47.9,32.1,30.5,76.9,49.4,49.3
351,351–400,Drexel University,Drexel University,Times,2021,United States,"20,140",11.4,16%,51%,49%,43.6–45.5,35.7,22.3,73,43,50.3
351,351–400,University of Kansas,University of Kansas,Times,2021,United States,"24,467",9.9,9%,52%,48%,43.6–45.5,36.6,24.8,68.9,44,48.4
351,351–400,Wayne State University,Wayne State University,Times,2021,United States,"22,359",11.6,7%,57%,43%,43.6–45.5,33.6,18.4,81.9,48.1,37.4
401,401–500,University of Alaska Fairbanks,University of Alaska Fairbanks,Times,2021,United States,"3,342",8.2,5%,52%,48%,39.8–43.5,28.8,24.1,67.3,41.3,55.7
401,401–500,American University,American University,Times,2021,United States,"12,460",13.5,13%,63%,37%,39.8–43.5,39.5,17.6,69.9,38.7,34.6
401,401–500,Clark University,Clark University,Times,2021,United States,"3,045",11.5,23%,60%,40%,39.8–43.5,23.9,22.2,73.5,33.3,57.8
401,401–500,Colorado School of Mines,Colorado School of Mines,Times,2021,United States,"5,898",17.2,11%,30%,70%,39.8–43.5,30.8,26.2,68.9,46,41
401,401–500,"Colorado State University, Fort Collins","Colorado State University, Fort Collins",Times,2021,United States,"26,178",16.1,6%,53%,47%,39.8–43.5,28.9,24.7,76,39,38.3
401,401–500,University of Connecticut,University of Connecticut,Times,2021,United States,"27,996",13.2,11%,52%,48%,39.8–43.5,34.7,28.8,59,36.7,53
401,401–500,University of Denver,University of Denver,Times,2021,United States,"9,397",12.6,8%,57%,43%,39.8–43.5,40.2,22.8,68.9,34.7,27.5
401,401–500,Florida International University,Florida International University,Times,2021,United States,"33,974",23.7,8%,58%,42%,39.8–43.5,30.6,27.1,67.1,34.4,39.6
401,401–500,University of Georgia,University of Georgia,Times,2021,United States,"36,169",16.6,7%,57%,43%,39.8–43.5,40.3,36.1,51.4,36.2,46.3
401,401–500,Georgia State University,Georgia State University,Times,2021,United States,"30,633",15.3,6%,58%,42%,39.8–43.5,32.1,26.9,62.1,34.4,37
401,401–500,Iowa State University,Iowa State University,Times,2021,United States,"31,814",18.1,12%,44%,56%,39.8–43.5,30.7,32.3,58.8,49.5,57
401,401–500,University of Kentucky,University of Kentucky,Times,2021,United States,"26,839",13.3,4%,56%,44%,39.8–43.5,36.6,26.6,56.6,38.1,38.1
401,401–500,Missouri University of Science and Technology,Missouri University of Science and Technology,Times,2021,United States,"7,862",21.6,12%,24%,76%,39.8–43.5,25.2,25.5,66.8,54.6,65.9
401,401–500,Mizzou - University of Missouri,Mizzou - University of Missouri,Times,2021,United States,"26,446",12.5,5%,53%,47%,39.8–43.5,35.3,25.7,64.2,34.8,41.5
401,401–500,University of Nebraska-Lincoln,University of Nebraska-Lincoln,Times,2021,United States,"24,677",16.6,12%,48%,52%,39.8–43.5,26.1,27.3,62.9,36.9,58
401,401–500,Oklahoma State University,Oklahoma State University,Times,2021,United States,"22,047",15.4,7%,50%,50%,39.8–43.5,28.6,20.4,75,39.4,44.1
401,401–500,Oregon State University,Oregon State University,Times,2021,United States,"25,824",16.6,11%,47%,53%,39.8–43.5,29.6,29.5,65.1,36.3,53.2
401,401–500,University of South Carolina-Columbia,University of South Carolina-Columbia,Times,2021,United States,"32,445",16.4,6%,54%,46%,39.8–43.5,33.6,27.5,65.6,35,44.6
401,401–500,The University of Tulsa,The University of Tulsa,Times,2021,United States,"4,209",11.2,14%,46%,54%,39.8–43.5,34.9,17.1,71.7,49.6,37.6
501,501–600,Hofstra University,Hofstra University,Times,2021,United States,"10,042",13.5,9%,57%,43%,36.4–39.7,26.6,15.1,79.7,33.3,30.9
501,501–600,University of Houston,University of Houston,Times,2021,United States,"46,052",26,9%,50%,50%,36.4–39.7,33,25.4,54.4,37,43.4
501,501–600,Louisiana State University,Louisiana State University,Times,2021,United States,"28,221",20,6%,53%,47%,36.4–39.7,32.6,23.2,53.5,35.2,38.2
501,501–600,University of Montana,University of Montana,Times,2021,United States,"8,559",16.2,2%,57%,43%,36.4–39.7,35.5,20.4,62.3,33.8,28
501,501–600,University of Nebraska Medical Center,University of Nebraska Medical Center,Times,2021,United States,"3,675",2.6,8%,64%,36%,36.4–39.7,34.6,12.7,66.8,37.3,45.2
501,501–600,New Jersey Institute of Technology,New Jersey Institute of Technology,Times,2021,United States,"9,284",14.8,27%,26%,74%,36.4–39.7,22.6,19,58.3,35.4,86
501,501–600,Northern Arizona University,Northern Arizona University,Times,2021,United States,"30,486",27.6,5%,61%,39%,36.4–39.7,20.5,14.2,83.9,34,32.6
501,501–600,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Times,2021,United States,"7,417",14.5,21%,32%,68%,36.4–39.7,29.3,25.9,56,55.8,56.6
501,501–600,Stevens Institute of Technology,Stevens Institute of Technology,Times,2021,United States,"6,178",17.9,38%,29%,71%,36.4–39.7,22.2,19.4,62.3,38.3,70.6
501,501–600,SUNY Binghamton University,SUNY Binghamton University,Times,2021,United States,"17,959",22.5,13%,49%,51%,36.4–39.7,22.3,26.1,62.3,36.4,39.2
501,501–600,The University of Texas at San Antonio,The University of Texas at San Antonio,Times,2021,United States,"25,892",25.1,4%,51%,49%,36.4–39.7,19.3,20.1,70.8,35.5,36.5
601,601–800,The University of Alabama,The University of Alabama,Times,2021,United States,"36,027",22.4,4%,56%,44%,30.2–36.3,26.9,17.5,60.3,34.4,29.3
601,601–800,University of Alabama in Huntsville,University of Alabama in Huntsville,Times,2021,United States,"7,672",18,7%,44%,56%,30.2–36.3,20.8,20.9,51.4,70.2,43.9
601,601–800,University of Arkansas,University of Arkansas,Times,2021,United States,"25,238",19.9,5%,53%,47%,30.2–36.3,27.7,26.9,43.8,36,29.8
601,601–800,Auburn University,Auburn University,Times,2021,United States,"26,838",19,9%,50%,50%,30.2–36.3,30.7,21.4,45.4,40,45.7
601,601–800,University of Central Florida,University of Central Florida,Times,2021,United States,"58,425",35.7,4%,56%,44%,30.2–36.3,25,28.9,51.6,43.6,33.2
601,601–800,Chapman University,Chapman University,Times,2021,United States,"8,792",12.8,7%,60%,40%,30.2–36.3,38.1,12.8,38.6,36.8,35.9
601,601–800,Clemson University,Clemson University,Times,2021,United States,"22,236",16.1,7%,48%,52%,30.2–36.3,25.3,21,41.3,38.3,39.5
601,601–800,Creighton University,Creighton University,Times,2021,United States,"8,430",11.2,5%,58%,42%,30.2–36.3,41.4,12.2,38.8,34.6,25.8
601,601–800,University of Idaho,University of Idaho,Times,2021,United States,"9,779",17.3,8%,49%,51%,30.2–36.3,32.5,21.8,50,35.3,48.1
601,601–800,Kansas State University,Kansas State University,Times,2021,United States,"21,036",14.1,8%,50%,50%,30.2–36.3,24.3,19.9,45.9,42.4,45.7
601,601–800,Lehigh University,Lehigh University,Times,2021,United States,"6,545",11,19%,45%,55%,30.2–36.3,27.9,20.7,52.4,38.1,63.4
601,601–800,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Times,2021,United States,"11,808",18.6,8%,45%,55%,30.2–36.3,22.2,22.9,59.4,34.6,36.4
601,601–800,University of Missouri-St Louis,University of Missouri-St Louis,Times,2021,United States,"6,777",15.5,5%,58%,42%,30.2–36.3,27.7,18.4,57.9,42.8,39
601,601–800,Montana State University,Montana State University,Times,2021,United States,"14,153",17.6,3%,47%,53%,30.2–36.3,20.2,18.3,61.5,42.7,28.1
601,601–800,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Times,2021,United States,"25,690",22.4,5%,57%,43%,30.2–36.3,27.2,22.6,45,34.1,31.4
601,601–800,New Mexico State University (Main campus),New Mexico State University (Main campus),Times,2021,United States,"12,400",16.3,7%,55%,45%,30.2–36.3,23.2,19.7,49.7,37,37.4
601,601–800,University of North Carolina at Greensboro,University of North Carolina at Greensboro,Times,2021,United States,"19,105",21.5,4%,66%,34%,30.2–36.3,22.2,19.7,50.7,33.6,22.4
601,601–800,Ohio University (Main campus),Ohio University (Main campus),Times,2021,United States,"24,729",23,5%,56%,44%,30.2–36.3,28.7,17.8,45.5,34.9,29.6
601,601–800,University of Rhode Island,University of Rhode Island,Times,2021,United States,"16,254",15,3%,58%,42%,30.2–36.3,23.1,16.9,68.4,33.4,38
601,601–800,San Diego State University,San Diego State University,Times,2021,United States,"31,109",29.9,8%,55%,45%,30.2–36.3,23.7,11.4,65.1,34.3,33.6
601,601–800,University of Texas at Arlington,University of Texas at Arlington,Times,2021,United States,"29,817",27.7,14%,57%,43%,30.2–36.3,21.5,19.3,53.8,40.2,46.6
601,601–800,Texas Tech University,Texas Tech University,Times,2021,United States,"33,464",20.9,9%,47%,53%,30.2–36.3,29.1,20.3,45.2,35.3,49.2
601,601–800,University of Toledo,University of Toledo,Times,2021,United States,"18,587",15.5,10%,51%,49%,30.2–36.3,31.6,13.7,48.9,42.7,46.4
601,601–800,Western Washington University,Western Washington University,Times,2021,United States,"15,050",18.4,1%,58%,42%,30.2–36.3,15.9,10.2,71.4,33.5,26.4
601,601–800,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,Times,2021,United States,"20,490",18.7,6%,54%,46%,30.2–36.3,21.8,22.7,62.4,35.2,33.4
601,601–800,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Times,2021,United States,"5,761",12.5,22%,35%,65%,30.2–36.3,24.5,17.7,56.8,35.3,54.3
801,801–1000,Baylor University,Baylor University,Times,2021,United States,"17,274",15.3,6%,58%,42%,25.1–30.1,29.7,14.5,38,34.1,35.6
801,801–1000,Bowling Green State University,Bowling Green State University,Times,2021,United States,"15,333",16.3,4%,57%,43%,25.1–30.1,20,13.1,43.6,33.4,26
801,801–1000,Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,Times,2021,United States,"9,433",15.3,1%,66%,34%,25.1–30.1,34.5,11.6,30.2,33.9,28.3
801,801–1000,Florida Atlantic University,Florida Atlantic University,Times,2021,United States,"24,678",18.5,10%,57%,43%,25.1–30.1,19.6,17.7,40.5,38.9,44.8
801,801–1000,Florida Institute of Technology,Florida Institute of Technology,Times,2021,United States,"5,477",14.3,33%,34%,66%,25.1–30.1,23.4,14.4,32.9,37.6,57.1
801,801–1000,Kent State University,Kent State University,Times,2021,United States,"23,764",17.6,7%,60%,40%,25.1–30.1,22.4,17.6,46.8,33.8,39.5
801,801–1000,Louisiana Tech University,Louisiana Tech University,Times,2021,United States,"10,602",25.4,4%,44%,56%,25.1–30.1,16.9,11.6,48.3,35.1,33.5
801,801–1000,Marquette University,Marquette University,Times,2021,United States,"10,650",11.9,4%,55%,45%,25.1–30.1,36.3,15.5,38.2,35.4,26.2
801,801–1000,University of Memphis,University of Memphis,Times,2021,United States,"16,460",14.2,3%,59%,41%,25.1–30.1,26,17.4,45.8,34.8,25.4
801,801–1000,Miami University,Miami University,Times,2021,United States,"18,301",25.2,15%,51%,49%,25.1–30.1,21.9,20.8,32.3,35.7,35.5
801,801–1000,Mississippi State University,Mississippi State University,Times,2021,United States,"26,823",19.1,3%,51%,49%,25.1–30.1,21.1,17.6,46.2,45.8,28.4
801,801–1000,The New School,The New School,Times,2021,United States,"10,554",9.5,35%,72%,28%,25.1–30.1,25.5,15.3,36.1,38,50.1
801,801–1000,Old Dominion University,Old Dominion University,Times,2021,United States,"18,811",18.2,3%,56%,44%,25.1–30.1,23.4,19.7,46.9,33.3,30.3
801,801–1000,Portland State University,Portland State University,Times,2021,United States,"20,202",18.4,8%,56%,44%,25.1–30.1,21.4,18.7,44.4,34.6,30.3
801,801–1000,Rochester Institute of Technology,Rochester Institute of Technology,Times,2021,United States,"14,093",15.7,17%,35%,65%,25.1–30.1,20.1,18.2,40.8,34.6,41.8
801,801–1000,University of South Dakota,University of South Dakota,Times,2021,United States,"7,282",15.8,3%,NA,NA,25.1–30.1,34.2,15.4,35.8,34.9,25.8
801,801–1000,Southern Illinois University Carbondale,Southern Illinois University Carbondale,Times,2021,United States,"11,158",14.9,8%,48%,52%,25.1–30.1,31.3,18.9,37.7,45.1,34.3
801,801–1000,University of Texas at El Paso,University of Texas at El Paso,Times,2021,United States,"17,883",23.7,8%,53%,47%,25.1–30.1,21,22.7,37.6,33.4,41.8
1001,1001+,"California State University, Long Beach","California State University, Long Beach",Times,2021,United States,"30,440",19.5,4%,58%,42%,10.3–25.0,23.2,11.3,29,35.8,43.2
1001,1001+,East Carolina University,East Carolina University,Times,2021,United States,"26,230",14.5,2%,58%,42%,10.3–25.0,22.1,12.6,27.9,37.5,29.2
1001,1001+,James Madison University,James Madison University,Times,2021,United States,"21,315",17.9,2%,60%,40%,10.3–25.0,18.1,11.3,24.4,33.6,27.7
1001,1001+,Morgan State University,Morgan State University,Times,2021,United States,"7,120",13.8,13%,54%,46%,10.3–25.0,18.2,10,35.7,33.4,48.7
1001,1001+,University of North Carolina Wilmington,University of North Carolina Wilmington,Times,2021,United States,"14,865",18.8,2%,62%,38%,10.3–25.0,16.2,8.2,28.1,34.4,27.5
1001,1001+,Oakland University,Oakland University,Times,2021,United States,"15,441",18.1,4%,57%,43%,10.3–25.0,27.2,13.9,27.5,33.8,30.8
1001,1001+,Texas State University,Texas State University,Times,2021,United States,"31,872",19.4,1%,59%,41%,10.3–25.0,18.4,16.5,27.1,36.4,32.4
