,Rank_Times,RankO,Master_col,Name_Times,Ranking_Agency_Times,Year,Region_Times,No..of.FTE.Students,No..of.students.per.staff,International.Students,Female_Ratio,Male_Ratio,Overall_Times,Teaching,Research,Citations,Industry.Income,International.Outlook,Name_QS,Ranking_Agency_QS,Region_QS,Rank_QS,Classification_Size,Classification_Focus,Classification_Res,Classification_Age,Academic_Reputation_Score,Academic_Reputation_rank,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Employer_Reputation_rank,Faculty_Student_Score,Faculty_Student_Rank,Faculty_Student_rank,Citations_per_Faculty_Score,Citations_per_Faculty_rank,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_rank,International_Faculty_Rank,International_Students_Score,International_Students_rank,International_Students_Rank,Overall_QS,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
929,NA,NA,Cardinal Stritch University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Cardinal Stritch University ,WI,private,NA,,1.8,NA,73%,45%,51%,NA,35%,285,NA,70%,1%,NA,,NA,18,22,8%,71%,,3%
930,NA,NA,Carson-Newman University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Carson-Newman University ,TN,private,NA,,2.1,NA,67%,60%,51%,NA,46%,119,NA,59%,1%,NA,,NA,20,26,,66%,,6%
931,NA,NA,Central Michigan University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,240,USNews,Central Michigan University,,public,32,32,2.4,226,77%,58%,62%,4,53%,176,246,32%,7%,20,20 to 1,288,1000,1200,17%,69%,322,6%
932,NA,NA,Chapman University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,125,USNews,Chapman University ,CA,private,48,48,2.6,88,90%,83%,79%,-4,80%,186,120,48%,4%,13,13 to 1,90,1190,1370,37%,54%,132,8%
933,NA,NA,Chatham University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,185,USNews,Chatham University ,PA,private,39,39,2.3,219,81%,62%,63%,1,56%,42,136,65%,2%,10,10 to 1,215,1040,1250,29%,55%,132,11%
934,NA,NA,Clark Atlanta University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Clark Atlanta University,,private,NA,,2.2,NA,69%,39%,45%,NA,41%,75,NA,33%,7%,NA,,NA,950,1110,11%,52%,,7%
935,NA,NA,Clarke University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218,USNews,Clarke University ,IA,private,34,34,2.1,226,73%,59%,63%,4,62%,62,120,70%,0.40%,9,9 to 1,342,19,23,17%,82%,276,15%
936,NA,NA,Cleveland State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Cleveland State University,,public,NA,,2.2,NA,71%,48%,45%,NA,38%,134,NA,32%,11%,NA,,NA,19,25,15%,88%,,5%
937,NA,NA,The College of St. Scholastica,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,USNews,College of St. Scholastica ,MN,private,30,30,1.9,161,81%,63%,69%,6,59%,303,309,50%,2%,13,13 to 1,215,20,26,17%,66%,303,4%
938,NA,NA,Concordia University Wisconsin,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,281,USNews,Concordia University Wisconsin,,private,27,27,2,242,77%,57%,58%,1,49%,254,194,58%,2%,12,12 to 1,259,20,26,26%,65%,350,3%
939,NA,NA,CUNY--City College,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,228,USNews,CUNY--City College,,public,33,33,2.9,283,87%,51%,43%,-8,44%,17,300,33%,3%,16,16 to 1,349,950,1190,,38%,132,12%
940,NA,NA,Daemen University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,263,USNews,Daemen College ,NY,private,29,29,1.7,261,78%,53%,57%,4,50%,56,120,64%,0.30%,11,11 to 1,245,1040,1230,21%,54%,317,3%
941,NA,NA,Dallas Baptist University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,281,USNews,Dallas Baptist University,,private,27,27,2,247,74%,61%,54%,-7,41%,303,136,68%,2%,13,13 to 1,245,20,24,18%,88%,244,1%
942,NA,NA,Delaware State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Delaware State University,,public,NA,,2.3,NA,72%,39%,40%,NA,34%,96,NA,45%,4%,NA,,NA,840,1010,9%,49%,,10%
943,NA,NA,DePaul University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,125,USNews,DePaul University ,IL,private,48,48,3,127,85%,62%,72%,10,66%,84,160,39%,1%,15,15 to 1,173,1080,1290,,68%,231,6%
944,NA,NA,Drake University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,130,USNews,Drake University ,IA,private,47,47,2.8,98,88%,80%,78%,-2,67%,365,95,50%,4%,10,10 to 1,95,24,30,39%,68%,148,10%
945,NA,NA,Duquesne University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,132,USNews,Duquesne University ,PA,private,46,46,2.7,103,86%,72%,78%,6,69%,159,194,40%,9%,14,14 to 1,143,1140,1280,26%,72%,200,7%
946,NA,NA,D'Youville University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,USNews,D'Youville College ,NY,private,30,30,1.7,278,79%,57%,60%,3,54%,96,64,70%,1%,9,9 to 1,265,1030,1200,17%,100%,254,12%
947,NA,NA,East Carolina University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,228,USNews,East Carolina University ,NC,public,33,33,2.4,195,82%,58%,63%,5,61%,39,320,31%,18%,18,18 to 1,295,1030,1180,13%,82%,283,2%
948,NA,NA,East Tennessee State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,East Tennessee State University,,public,NA,,2.1,NA,73%,52%,41%,NA,32%,214,NA,43%,9%,NA,,NA,19,26,,85%,,
949,NA,NA,Eastern Michigan University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Eastern Michigan University,,public,NA,,2.3,NA,73%,51%,45%,NA,36%,214,NA,40%,3%,NA,,NA,970,1200,13%,76%,,2%
950,NA,NA,Edgewood College,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,202,USNews,Edgewood College ,WI,private,36,36,1.7,203,79%,58%,63%,5,63%,14,69,85%,0%,10,10 to 1,215,20,25,17%,73%,231,6%
951,NA,NA,Elon University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,84,USNews,Elon University ,NC,private,54,54,3,69,90%,80%,83%,3,79%,370,64,52%,0%,12,12 to 1,122,1150,1330,25%,72%,164,24%
952,NA,NA,Ferris State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Ferris State University ,MI,public,NA,,2.1,NA,78%,52%,50%,NA,41%,285,NA,52%,3%,NA,,NA,940,1170,,81%,,2%
953,NA,NA,Florida A&M University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,USNews,Florida A&M University,,public,30,30,2.3,294,83%,43%,51%,8,49%,45,339,33%,14%,16,16 to 1,310,1040,1170,11%,39%,231,5%
954,NA,NA,Gallaudet University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,179,USNews,Gallaudet University ,DC,private,40,40,2.9,313,71%,51%,47%,-4,46%,45,30,97%,0%,6,6 to 1,375,15,20,,57%,18,
955,NA,NA,Gannon University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218,USNews,Gannon University ,PA,private,34,34,2,167,83%,61%,67%,6,54%,159,182,49%,0.40%,13,13 to 1,295,1020,1220,20%,81%,244,7%
956,NA,NA,Gardner-Webb University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,281,USNews,Gardner-Webb University ,NC,private,27,27,2,294,73%,56%,53%,-3,43%,204,77,75%,0%,13,13 to 1,279,970,1180,17%,48%,265,3%
957,NA,NA,George Fox University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,246,USNews,George Fox University ,OR,private,31,31,2,161,81%,64%,67%,3,54%,80,309,53%,2%,14,14 to 1,310,1020,1230,32%,82%,265,5%
958,NA,NA,Georgia Southern University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Georgia Southern University,,public,NA,,2.4,NA,80%,60%,50%,NA,47%,113,NA,26%,10%,NA,,NA,1060,1200,18%,68%,,5%
959,NA,NA,Gonzaga University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,USNews,Gonzaga University ,WA,private,55,55,3.1,48,94%,78%,86%,8,78%,254,182,37%,1%,11,11 to 1,95,1183,1350,41%,66%,164,14%
960,NA,NA,Grand Canyon University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Grand Canyon University ,AZ,proprietary,NA,,1.8,NA,66%,42%,39%,NA,,42,NA,,,NA,,NA,,NA,,67%,,
961,NA,NA,Grand Valley State University ,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,228,USNews,Grand Valley State University ,MI,public,33,33,2.2,167,84%,61%,65%,4,58%,115,300,25%,5%,16,16 to 1,215,1050,1240,20%,83%,339,4%
962,NA,NA,Hampton University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218,USNews,Hampton University ,VA,private,34,34,2.4,230,77%,60%,58%,-2,53%,34,271,60%,3%,13,13 to 1,344,19,24,13%,36%,140,17%
963,NA,NA,Harding University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,240,USNews,Harding University ,AR,private,32,32,2,167,84%,69%,67%,-2,54%,322,227,55%,6%,14,14 to 1,159,22,29,23%,68%,283,10%
964,NA,NA,Husson University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Husson University ,ME,private,NA,,1.7,NA,75%,44%,55%,NA,47%,70,NA,51%,0.20%,NA,,NA,930,1140,12%,83%,,3%
965,NA,NA,Illinois State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,197,USNews,Illinois State University,,public,37,37,2.5,145,81%,62%,69%,7,61%,224,271,37%,10%,18,18 to 1,318,20,26,,89%,231,6%
966,NA,NA,Immaculata University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,211,USNews,Immaculata University ,PA,private,35,35,1.8,176,79%,51%,68%,17,53%,186,147,86%,0%,9,9 to 1,334,1018,1223,9%,81%,283,7%
967,NA,NA,Indiana State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Indiana State University,,public,NA,,2.5,NA,65%,43%,41%,NA,32%,78,NA,31%,8%,NA,,NA,910,1120,11%,90%,,6%
968,NA,NA,Indiana University of Pennsylvania,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Indiana Univ. of Pennsylvania,,public,NA,,2.1,NA,73%,47%,56%,NA,48%,138,NA,35%,10%,NA,,NA,910,1120,8%,93%,,5%
969,NA,NA,Indiana University--Bloomington,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,USNews,Indiana University--Bloomington,,public,55,55,3.7,92,91%,74%,78%,4,66%,303,160,37%,17%,16,16 to 1,111,1150,1360,35%,77%,183,11%
970,NA,NA,Indiana University-Purdue University--Indianapolis,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,228,USNews,Indiana University-Purdue University--Indianapolis,,public,33,33,2.9,307,74%,52%,48%,-4,41%,125,227,39%,10%,15,15 to 1,310,1000,1200,15%,81%,76,7%
971,NA,NA,Jackson State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Jackson State University ,MS,public,NA,,2,NA,66%,44%,37%,NA,,105,NA,39%,10%,NA,,NA,17,22,,69%,,
972,NA,NA,Keiser University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,272,USNews,Keiser University ,FL,private,28,28,1.6,195,84%,36%,56%,20,52%,34,381,48%,29%,12,12 to 1,323,,NA,,100%,200,1%
973,NA,NA,Kennesaw State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Kennesaw State University ,GA,public,NA,,2.4,NA,79%,55%,43%,NA,45%,90,NA,27%,13%,NA,,NA,1080,1270,16%,58%,,2%
974,NA,NA,Lamar University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Lamar University ,TX,public,NA,,1.9,NA,63%,42%,27%,NA,21%,335,NA,38%,10%,NA,,NA,950,1100,15%,84%,,1%
975,NA,NA,Lesley University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,246,USNews,Lesley University ,MA,private,31,31,2.1,242,80%,60%,56%,-4,60%,90,120,67%,0%,10,10 to 1,310,938,1293,13%,76%,164,
976,NA,NA,Liberty University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Liberty University ,VA,private,NA,,1.7,NA,83%,48%,55%,NA,41%,335,NA,33%,4%,NA,,NA,980,1180,24%,56%,,1%
977,NA,NA,Lincoln Memorial University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,USNews,Lincoln Memorial University ,TN,private,30,30,1.9,278,71%,53%,60%,7,51%,49,147,55%,4%,14,14 to 1,334,19,25,26%,43%,254,5%
978,NA,NA,Lindenwood University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Lindenwood University ,MO,private,NA,,1.8,NA,70%,54%,50%,NA,46%,224,NA,65%,0%,NA,,NA,20,25,,88%,,5%
979,NA,NA,Lipscomb University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218,USNews,Lipscomb University ,TN,private,34,34,2.1,209,82%,68%,65%,-3,55%,328,210,55%,5%,13,13 to 1,134,22,29,30%,60%,174,12%
980,NA,NA,Long Island University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,240,USNews,Long Island University ,NY,private,32,32,2.2,215,80%,,,-1,,328,58,66%,1%,11,11 to 1,215,1050,1250,15%,76%,303,2%
981,NA,NA,Loyola Marymount University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64,USNews,Loyola Marymount University ,CA,private,59,59,3.1,73,90%,75%,84%,9,80%,241,54,53%,1%,10,10 to 1,83,1210,1390,44%,47%,93,20%
982,NA,NA,Loyola University New Orleans,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,197,USNews,Loyola University New Orleans,,private,37,37,2.7,215,80%,69%,61%,-8,50%,214,120,46%,2%,12,12 to 1,173,22,28,25%,75%,140,6%
983,NA,NA,Marshall University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Marshall University ,WV,public,NA,,2.4,NA,73%,51%,46%,NA,36%,147,NA,48%,3%,NA,,NA,19,25,,91%,,4%
984,NA,NA,Mary Baldwin University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,272,USNews,Mary Baldwin University ,VA,private,28,28,2,339,67%,44%,47%,3,45%,21,110,64%,1%,10,10 to 1,351,950,1130,11%,100%,219,10%
985,NA,NA,Maryville University of St. Louis,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,202,USNews,Maryville Univ. of St. Louis,,private,36,36,1.9,122,86%,63%,72%,9,69%,176,210,72%,1%,14,14 to 1,215,20,26,24%,95%,303,5%
986,NA,NA,Mercer University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,153,USNews,Mercer University ,GA,private,43,43,2.5,167,88%,68%,66%,-2,57%,134,77,55%,5%,13,13 to 1,107,1180,1340,37%,72%,183,11%
987,NA,NA,Metropolitan State University,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293-381,USNews,Metropolitan State University ,MN,public,NA,,1.8,NA,72%,48%,33%,NA,,328,NA,,,NA,,NA,,NA,,56%,,
